Sort;URL;Original title;S;Creator(s);Genres;Start;End;Media;Storage;Video;E;Mins;Hours;Added;comment
Terminator: The Sarah Connor Chronicles;Cal.;Terminator: The Sarah Connor Chronicles;2;Josh Friedman;Action | Drama | Fantasy | Sci-Fi | Thriller;2008;2009;Downloaded;DELETED;HD 720P;22;43;15,77;;
True Blood;Cal.;True Blood;2;Alan Ball;Drama | Fantasy | Horror;2009;2009;Downloaded;DELETED;HD 720P;12;55;11,00;;
24;Cal.;24;8;Robert Cochran, Joel Surnow;Action | Crime | Drama | Mystery | Thriller;2010;2010;Downloaded;DELETED;HD 720P;24;43;17,20;;
30 Rock;Cal.;30 Rock;4;Tina Fey;Comedy;2009;2010;Downloaded;DELETED;HD 720P;22;21;7,70;;
Archer;Cal.;Archer;1;Adam Reed;Animation | Action | Comedy;2009;2010;Downloaded;DELETED;HD 720P;10;22;3,67;;
Boardwalk Empire;Cal.;Boardwalk Empire;1;Terence Winter;Crime | Drama | History;2010;2010;Downloaded;DELETED;HD 720P;12;55;11,00;;
Breaking Bad;Cal.;Breaking Bad;3;Vince Gilligan;Crime | Drama;2010;2010;Downloaded;DELETED;HD 720P;13;47;10,18;;
Childrens Hospital;Cal.;Childrens Hospital;2;Rob Corddry;Short | Comedy;2010;2010;Downloaded;DELETED;HD 720P;12;11;2,20;;
Chuck;Cal.;Chuck;3;Josh Schwartz/Chris Fedak;Comedy | Action | Drama;2010;2010;Downloaded;DELETED;HD 720P;19;42;13,30;;
Community;Cal.;Community;1;Dan Harmon;Comedy;2009;2010;Downloaded;DELETED;HD 720P;25;22;9,17;;
Dexter;Cal.;Dexter;5;James Manos, Jr.;Crime | Drama | Mystery | Thriller;2010;2010;Downloaded;DELETED;HD 720P;12;50;10,00;;
Doctor Who (2005);Cal.;Doctor Who (2005);5;Steven Moffat;Adventure | Drama | Sci-Fi;2010;2010;Downloaded;DELETED;HD 720P;13;45;9,75;;
Dollhouse;Cal.;Dollhouse;2;Joss Whedon;Drama | Sci-Fi | Thriller;2009;2010;Downloaded;external #1;HD 720P;13;42;9,10;;
Friday Night Lights;Cal.;Friday Night Lights;4;Peter Berg, Brian Grazer and David Nevins;Drama | Sport;2009;2010;Downloaded;T:\TV\;HD 720P;13;43;9,32;;web-dl
Fringe;Cal.;Fringe;2;J. J. Abrams / Roberto Orci / Alex Kurtzman;Drama | Horror | Mystery | Sci-Fi | Thriller;2009;2010;Downloaded;DELETED;HD 720P;23;43;16,48;;
Glee;Cal.;Glee;1;Ryan Murphy / Brad Falchuk / Ian Brennan;Comedy | Drama | Music;2009;2010;Downloaded;DELETED;HD 720P;22;42;15,40;;
Heroes;Cal.;Heroes;4;Tim Kring;Drama | Sci-Fi;2009;2010;Downloaded;DELETED;HD 720P;19;43;13,62;;
Justified;Cal.;Justified;1;Graham Yost;Action | Crime | Drama | Thriller;2010;2010;Downloaded;DELETED;HD 720P (Blu-ray);13;42;9,10;;
Lost;Cal.;Lost;6;Jeffrey Lieber, Damon Lindelof, J. J. Abrams;Adventure | Drama | Fantasy | Mystery | Thriller;2010;2010;Downloaded;DELETED;HD 720P;18;43;12,90;;
Louie;Cal.;Louie;1;Louis C.K.;Comedy;2010;2010;Downloaded;DELETED;HD 720P;13;23;4,98;;
Mad Men;Cal.;Mad Men;4;Matthew Weiner;Drama;2010;2010;Downloaded;DELETED;HD 720P;13;47;10,18;;
Misfits;Cal.;Misfits;2;Howard Overman;Comedy | Drama | Fantasy | Sci-Fi;2010;2010;Downloaded;DELETED;HD 720P (Blu-ray);7;45;5,25;;
Modern Family;Cal.;Modern Family;1;Steven Levitan / Christopher Lloyd;Comedy;2009;2010;Downloaded;DELETED;HD 720P;24;22;8,80;;
Parks and Recreation;Cal.;Parks and Recreation;2;Greg Daniels/Michael Schur;Comedy;2009;2010;Downloaded;DELETED;HD 720P;24;22;8,80;;
Party Down;Cal.;Party Down;2;John Enbom, Rob Thomas, Dan Etheridge, Paul Rudd;Comedy;2010;2010;Downloaded;external #1;HD 720P;10;28;4,67;;
Rubicon;Cal.;Rubicon;1;Jason Horwitch;Crime | Drama | Mystery | Thriller;2010;2010;Downloaded;T:\TV\;HD 720P;13;45;9,75;;
Scrubs;Cal.;Scrubs;9;Bill Lawrence;Comedy | Drama;2009;2010;Downloaded;DELETED;HD 720P;13;22;4,77;;
Sherlock;Cal.;Sherlock;1;Mark Gatiss/Steven Moffat;Crime | Drama | Mystery;2010;2010;Downloaded;external #1;HD 720P;3;90;4,50;;
South Park;Cal.;South Park;14;Trey Parker, Matt Stone;Animation | Comedy;2010;2010;Downloaded;external #1;HD 720P;14;22;5,13;;
Spartacus: Blood and Sand;Cal.;Spartacus: Blood and Sand;1;Steven S. DeKnight et al.;Action | Drama;2010;2010;Downloaded;DELETED;HD 720P;13;50;10,83;;
Star Wars: The Clone Wars;Cal.;Star Wars: The Clone Wars;2;George Lucas / Lucasfilm Animation;Animation | Action | Adventure | Drama | Fantasy | Sci-Fi;2009;2010;Downloaded;DELETED;HD 720P;22;22;8,07;;
Pacific;Cal.;The Pacific;1;;Drama | War;2010;2010;Downloaded;DELETED;HD 720P;10;54;9,00;;miniseries
Vampire Diaries;Cal.;The Vampire Diaries;1;Kevin Williamson and Julie Plec;Drama | Fantasy | Horror | Romance;2009;2010;Downloaded;DELETED;HD 720P;22;41;15,03;;
Walking Dead;Cal.;The Walking Dead;1;Frank Darabont;Drama | Horror;2010;2010;Downloaded;DELETED;HD 720P;6;45;4,50;;
Treme;Cal.;Treme;1;David Simon/Eric Overmyer;Drama;2010;2010;Downloaded;DELETED;HD 720P;10;60;10,00;;
True Blood;Cal.;True Blood;3;Alan Ball;Drama | Fantasy | Horror;2010;2010;Downloaded;DELETED;HD 720P;12;55;11,00;;
30 Rock;Cal.;30 Rock;5;Tina Fey;Comedy;2010;2011;Downloaded;DELETED;HD 720P;23;21;8,05;;
Archer;Cal.;Archer;2;Adam Reed;Animation | Action | Comedy;2011;2011;Downloaded;DELETED;HD 720P;13;22;4,77;;
Boardwalk Empire;Cal.;Boardwalk Empire;2;Terence Winter;Crime | Drama | History;2011;2011;Downloaded;DELETED;HD 720P;12;55;11,00;;
Breaking Bad;Cal.;Breaking Bad;4;Vince Gilligan;Crime | Drama;2011;2011;Downloaded;DELETED;HD 720P;13;47;10,18;;
Caprica;Cal.;Caprica;1;Remi Aubuchon / Ronald D. Moore / David Eick;Action | Drama | Sci-Fi;2010;2011;Downloaded;DELETED;HD 720P;18;42;12,60;;
Childrens Hospital;Cal.;Childrens Hospital;3;Rob Corddry;Short | Comedy;2011;2011;Downloaded;DELETED;HD 720P;14;11;2,57;;
Chuck;Cal.;Chuck;4;Josh Schwartz/Chris Fedak;Comedy | Action | Drama;2010;2011;Downloaded;DELETED;HD 720P;24;42;16,80;;
Community;Cal.;Community;2;Dan Harmon;Comedy;2010;2011;Downloaded;DELETED;HD 720P;24;22;8,80;;
Dexter;Cal.;Dexter;6;James Manos, Jr.;Crime | Drama | Mystery | Thriller;2011;2011;Downloaded;DELETED;HD 720P;12;50;10,00;;
Doctor Who (2005);Cal.;Doctor Who (2005);6;Steven Moffat;Adventure | Drama | Sci-Fi;2011;2011;Downloaded;DELETED;HD 720P;13;45;9,75;;
Falling Skies;Cal.;Falling Skies;1;Robert Rodat / Steven Spielberg;Action | Sci-Fi | Thriller;2011;2011;Downloaded;DELETED;HD 720P;10;45;7,50;;
Friday Night Lights;Cal.;Friday Night Lights;5;Peter Berg, Brian Grazer and David Nevins;Drama | Sport;2010;2011;Downloaded;T:\TV\;HD 720P;13;43;9,32;;web-dl
Fringe;Cal.;Fringe;3;J. J. Abrams / Roberto Orci / Alex Kurtzman;Drama | Horror | Mystery | Sci-Fi | Thriller;2010;2011;Downloaded;DELETED;HD 720P;22;43;15,77;;
Game of Thrones;Cal.;Game of Thrones;1;David Benioff / Dan Weiss;Drama | Fantasy;2011;2011;Downloaded;T:\TV\;HD 720P;10;60;10,00;;
Glee;Cal.;Glee;2;Ryan Murphy / Brad Falchuk / Ian Brennan;Comedy | Drama | Music;2010;2011;Downloaded;DELETED;HD 720P;22;42;15,40;;
Homeland;Cal.;Homeland;1;Howard Gordon / Alex Gansa / Gideon Raff;Drama;2011;2011;Downloaded;DELETED;HD 720P;12;55;11,00;;
Justified;Cal.;Justified;2;Graham Yost;Action | Crime | Drama | Thriller;2011;2011;Downloaded;DELETED;HD 720P;13;42;9,10;;
Louie;Cal.;Louie;2;Louis C.K.;Comedy;2011;2011;Downloaded;DELETED;HD 720P;13;23;4,98;;
Misfits;Cal.;Misfits;3;Howard Overman;Comedy | Drama | Fantasy | Sci-Fi;2011;2011;Downloaded;DELETED;HD 720P;8;45;6,00;;
Modern Family;Cal.;Modern Family;2;Steven Levitan / Christopher Lloyd;Comedy;2010;2011;Downloaded;DELETED;HD 720P;24;22;8,80;;
NTSF:SD:SUV;Cal.;NTSF:SD:SUV;1;Paul Scheer;Action | Comedy;2011;2011;Downloaded;DELETED;HD 720P;12;11;2,20;;
Parks and Recreation;Cal.;Parks and Recreation;3;Greg Daniels/Michael Schur;Comedy;2011;2011;Downloaded;DELETED;HD 720P;16;22;5,87;;
Pioneer One;Cal.;Pioneer One;1;Josh Bernhard / Bracey Smith;Drama | Sci-Fi;2010;2011;Downloaded;DELETED;HD 720P;6;35;3,50;;
South Park;Cal.;South Park;15;Trey Parker, Matt Stone;Animation | Comedy;2011;2011;Downloaded;external #1;HD 720P;14;22;5,13;;
Spartacus: Gods of the Arena;Cal.;Spartacus: Gods of the Arena;1;Steven S. DeKnight;Action | Adventure | Biography | Drama | History;2011;2011;Downloaded;DELETED;HD 720P;6;50;5,00;;
Star Wars: The Clone Wars;Cal.;Star Wars: The Clone Wars;3;George Lucas / Lucasfilm Animation;Animation | Action | Adventure | Drama | Fantasy | Sci-Fi;2010;2011;Downloaded;DELETED;HD 720P;22;22;8,07;;
Terra Nova;Cal.;Terra Nova;1;Kelly Marcel, Craig Silverstein;Adventure | Mystery | Sci-Fi;2011;2011;Downloaded;DELETED;HD 720P;13;42;9,10;;
Vampire Diaries;Cal.;The Vampire Diaries;2;Kevin Williamson and Julie Plec;Drama | Fantasy | Horror | Romance;2010;2011;Downloaded;DELETED;HD 720P;22;41;15,03;;
Treme;Cal.;Treme;2;David Simon/Eric Overmyer;Drama;2011;2011;Downloaded;DELETED;HD 720P;11;60;11,00;;
True Blood;Cal.;True Blood;4;Alan Ball;Drama | Fantasy | Horror;2011;2011;Downloaded;DELETED;HD 720P;12;55;11,00;;
30 Rock;Cal.;30 Rock;6;Tina Fey;Comedy;2012;2012;Downloaded;DELETED;HD 720P;22;21;7,70;;
Archer;Cal.;Archer;3;Adam Reed;Animation | Action | Comedy;2011;2012;Downloaded;DELETED;HD 720P;13;22;4,77;;
Boardwalk Empire;Cal.;Boardwalk Empire;3;Terence Winter;Crime | Drama | History;2012;2012;Downloaded;DELETED;HD 720P;12;55;11,00;;
Chuck;Cal.;Chuck;5;Josh Schwartz/Chris Fedak;Comedy | Action | Drama;2011;2012;Downloaded;DELETED;HD 720P;13;42;9,10;;
Community;Cal.;Community;3;Dan Harmon;Comedy;2011;2012;Downloaded;DELETED;HD 720P;22;22;8,07;;
Dexter;Cal.;Dexter;7;James Manos, Jr.;Crime | Drama | Mystery | Thriller;2012;2012;Downloaded;DELETED;HD 720P;12;50;10,00;;
Falling Skies;Cal.;Falling Skies;2;Robert Rodat / Steven Spielberg;Action | Sci-Fi | Thriller;2012;2012;Downloaded;DELETED;HD 720P;10;45;7,50;;
Fringe;Cal.;Fringe;4;J. J. Abrams / Roberto Orci / Alex Kurtzman;Drama | Horror | Mystery | Sci-Fi | Thriller;2011;2012;Downloaded;DELETED;HD 720P;22;43;15,77;;
Game of Thrones;Cal.;Game of Thrones;2;David Benioff / Dan Weiss;Drama | Fantasy;2012;2012;Downloaded;T:\TV\;HD 720P;10;60;10,00;;
Girls;Cal.;Girls;1;Lena Dunham;Comedy;2012;2012;Downloaded;DELETED;HD 720P;10;30;5,00;;
Glee;Cal.;Glee;3;Ryan Murphy / Brad Falchuk / Ian Brennan;Comedy | Drama | Music;2011;2012;Downloaded;DELETED;HD 720P;22;42;15,40;;
Homeland;Cal.;Homeland;2;Howard Gordon / Alex Gansa / Gideon Raff;Drama;2012;2012;Downloaded;DELETED;HD 720P;12;55;11,00;;
House of Lies;Cal.;House of Lies;1;Matthew Carnahan;Comedy | Drama;2012;2012;Downloaded;DELETED;HD 720P;12;30;6,00;;
Justified;Cal.;Justified;3;Graham Yost;Action | Crime | Drama | Thriller;2012;2012;Downloaded;DELETED;HD 720P;13;42;9,10;;
Louie;Cal.;Louie;3;Louis C.K.;Comedy;2012;2012;Downloaded;DELETED;HD 720P;13;23;4,98;;
Luck;Cal.;Luck;1;David Milch;Drama | Sport;2011;2012;Downloaded;DELETED;HD 720P;9;60;9,00;;
Mad Men;Cal.;Mad Men;5;Matthew Weiner;Drama;2012;2012;Downloaded;DELETED;HD 720P;13;47;10,18;;
Modern Family;Cal.;Modern Family;3;Steven Levitan / Christopher Lloyd;Comedy;2011;2012;Downloaded;DELETED;HD 720P;24;22;8,80;;
NTSF:SD:SUV;Cal.;NTSF:SD:SUV;2;Paul Scheer;Action | Comedy;2012;2012;Downloaded;DELETED;HD 720P;14;11;2,57;;
Pan Am;Cal.;Pan Am;1;Jack Orman;Drama;2011;2012;Downloaded;DELETED;HD 720P;14;43;10,03;;
Parks and Recreation;Cal.;Parks and Recreation;4;Greg Daniels/Michael Schur;Comedy;2011;2012;Downloaded;DELETED;HD 720P;22;22;8,07;;
Sherlock;Cal.;Sherlock;2;Mark Gatiss/Steven Moffat;Crime | Drama | Mystery;2012;2012;Downloaded;external #1;HD 720P;3;90;4,50;;
South Park;Cal.;South Park;16;Trey Parker, Matt Stone;Animation | Comedy;2012;2012;Downloaded;external #1;HD 720P;14;22;5,13;;
Spartacus: Blood and Sand;Cal.;Spartacus: Blood and Sand;2;Steven S. DeKnight;Action | Adventure | Biography | Drama | History;2012;2012;Downloaded;DELETED;HD 720P;10;53;8,83;;
Star Wars: The Clone Wars;Cal.;Star Wars: The Clone Wars;4;George Lucas / Lucasfilm Animation;Animation | Action | Adventure | Drama | Fantasy | Sci-Fi;2011;2012;Downloaded;DELETED;HD 720P;22;22;8,07;;
Newsroom;Cal.;The Newsroom;1;Aaron Sorkin;Drama;2012;2012;Downloaded;DELETED;HD 720P;10;60;10,00;;
Vampire Diaries;Cal.;The Vampire Diaries;3;Kevin Williamson and Julie Plec;Drama | Fantasy | Horror | Romance;2011;2012;Downloaded;DELETED;HD 720P;22;41;15,03;;
Walking Dead;Cal.;The Walking Dead;2;Frank Darabont;Drama | Horror;2011;2012;Downloaded;DELETED;HD 720P;13;45;9,75;;
Treme;Cal.;Treme;3;David Simon/Eric Overmyer;Drama;2012;2012;Downloaded;DELETED;HD 720P;10;60;10,00;;
True Blood;Cal.;True Blood;5;Alan Ball;Drama | Fantasy | Horror;2012;2012;Downloaded;DELETED;HD 720P;12;55;11,00;;
Veep;Cal.;Veep;1;Armando Iannucci;Comedy;2012;2012;Downloaded;DELETED;HD 720P;8;30;4,00;;
Modern Family;Cal.;Modern Family;4;Steven Levitan / Christopher Lloyd;Comedy;2012;2013;Downloaded;DELETED;HD 720P;24;22;8,80;;
Breaking Bad;Cal.;Breaking Bad;5;Vince Gilligan;Crime | Drama;2012;2013;Downloaded;DELETED;HD 720P;16;47;12,53;;
Doctor Who (2005);Cal.;Doctor Who (2005);7;Steven Moffat;Adventure | Drama | Sci-Fi;2012;2013;Downloaded;DELETED;HD 720P;14;45;10,50;;
Fringe;Cal.;Fringe;5;J. J. Abrams / Roberto Orci / Alex Kurtzman;Drama | Horror | Mystery | Sci-Fi | Thriller;2012;2013;Downloaded;DELETED;HD 720P;13;43;9,32;;
Childrens Hospital;Cal.;Childrens Hospital;4;Rob Corddry;Short | Comedy;2012;2012;Downloaded;DELETED;HD 720P;14;11;2,57;;
Glee;Cal.;Glee;4;Ryan Murphy / Brad Falchuk / Ian Brennan;Comedy | Drama | Music;2012;2013;Downloaded;DELETED;HD 720P;22;42;15,40;;
Parks and Recreation;Cal.;Parks and Recreation;5;Greg Daniels/Michael Schur;Comedy;2012;2013;Downloaded;DELETED;HD 720P;22;22;8,07;;
Star Wars: The Clone Wars;Cal.;Star Wars: The Clone Wars;5;George Lucas / Lucasfilm Animation;Animation | Action | Adventure | Drama | Fantasy | Sci-Fi;2012;2013;Downloaded;DELETED;HD 720P;20;22;7,33;;
30 Rock;Cal.;30 Rock;7;Tina Fey;Comedy;2012;2013;Downloaded;DELETED;HD 720P;13;21;4,55;;
Vampire Diaries;Cal.;The Vampire Diaries;4;Kevin Williamson and Julie Plec;Drama | Fantasy | Horror | Romance;2012;2013;Downloaded;DELETED;HD 720P;23;41;15,72;;
Walking Dead;Cal.;The Walking Dead;3;Frank Darabont;Drama | Horror;2012;2013;Downloaded;DELETED;HD 720P;16;45;12,00;;
Misfits;Cal.;Misfits;4;Howard Overman;Comedy | Drama | Fantasy | Sci-Fi;2012;2012;Downloaded;DELETED;HD 720P;8;45;6,00;;
Justified;Cal.;Justified;4;Graham Yost;Action | Crime | Drama | Thriller;2013;2013;Downloaded;DELETED;HD 720P;13;42;9,10;;
Girls;Cal.;Girls;2;Lena Dunham;Comedy;2013;2013;Downloaded;DELETED;HD 720P;10;30;5,00;;
House of Lies;Cal.;House of Lies;2;Matthew Carnahan;Comedy | Drama;2013;2013;Downloaded;DELETED;HD 720P;12;30;6,00;;
Archer;Cal.;Archer;4;Adam Reed;Animation | Action | Comedy;2013;2013;Downloaded;DELETED;HD 720P;13;22;4,77;;
Spartacus: Blood and Sand;Cal.;Spartacus: Blood and Sand;3;Steven S. DeKnight;Action | Adventure | Biography | Drama | History;2013;2013;Downloaded;DELETED;HD 720P;10;53;8,83;;
House of Cards;Cal.;House of Cards;1;Beau Willimon;Drama;2013;2013;Downloaded;DELETED;HD 720P;13;50;10,83;;
Game of Thrones;Cal.;Game of Thrones;3;David Benioff / Dan Weiss;Drama | Fantasy;2013;2013;Downloaded;T:\TV\;HD 720P;10;60;10,00;;
Mad Men;Cal.;Mad Men;6;Matthew Weiner;Drama;2013;2013;Downloaded;DELETED;HD 720P;13;47;10,18;;
Veep;Cal.;Veep;2;Armando Iannucci;Comedy;2013;2013;Downloaded;DELETED;HD 720P;10;30;5,00;;
Community;Cal.;Community;4;Dan Harmon;Comedy;2013;2013;Downloaded;DELETED;HD 720P;22;22;8,07;;
Falling Skies;Cal.;Falling Skies;3;Robert Rodat / Steven Spielberg;Action | Sci-Fi | Thriller;2013;2103;Downloaded;DELETED;HD 720P;10;45;7,50;;
True Blood;Cal.;True Blood;6;Alan Ball;Drama | Fantasy | Horror;2013;2013;Downloaded;DELETED;HD 720P;10;55;9,17;;
Americans;Cal.;The Americans;1;Joe Weisberg;Crime | Drama | Mystery | Thriller;2013;2013;Downloaded;DELETED;HD 720P;13;45;9,75;;
Dexter;Cal.;Dexter;8;James Manos, Jr.;Crime | Drama | Mystery | Thriller;2013;2013;Downloaded;DELETED;HD 720P;12;50;10,00;;
Newsroom;Cal.;The Newsroom;2;Aaron Sorkin;Drama;2013;2013;Downloaded;DELETED;HD 720P;9;60;9,00;;
Band of Brothers;Cal.;Band of Brothers;1;Steven Spielberg, Tom Hanks;Adventure | Drama | History | War;2001;2001;Downloaded;external #1;HD 720P;10;70,5;11,75;;Miniseries, Blu-ray encode, stored on external #1
Childrens Hospital;Cal.;Childrens Hospital;5;Rob Corddry;Short | Comedy;2013;2013;Downloaded;DELETED;HD 720P;13;11;2,38;;
NTSF:SD:SUV;Cal.;NTSF:SD:SUV;3;Paul Scheer;Action | Comedy;2013;2013;Downloaded;DELETED;HD 720P;13;11;2,38;;
Boardwalk Empire;Cal.;Boardwalk Empire;4;Terence Winter;Crime | Drama | History;2013;2013;Downloaded;DELETED;HD 720P;12;55;11,00;;
Modern Family;Cal.;Modern Family;5;Steven Levitan / Christopher Lloyd;Comedy;2013;2014;Downloaded;DELETED;HD 720P;24;22;8,80;;
South Park;Cal.;South Park;17;Trey Parker, Matt Stone;Animation | Comedy;2013;2013;Downloaded;external #1;HD 720P;10;22;3,67;;
Parks and Recreation;Cal.;Parks and Recreation;6;Greg Daniels/Michael Schur;Comedy;2013;2014;Downloaded;DELETED;HD 720P;22;22;8,07;;
Homeland;Cal.;Homeland;3;Howard Gordon / Alex Gansa / Gideon Raff;Drama;2013;2013;Downloaded;DELETED;HD 720P;12;55;11,00;;
Vampire Diaries;Cal.;The Vampire Diaries;5;Kevin Williamson and Julie Plec;Drama | Fantasy | Horror | Romance;2013;2014;Downloaded;DELETED;HD 720P;22;41;15,03;;
Walking Dead;Cal.;The Walking Dead;4;Frank Darabont;Drama | Horror;2013;2014;Downloaded;DELETED;HD 720P;16;45;12,00;;
Misfits;Cal.;Misfits;5;Howard Overman;Comedy | Drama | Fantasy | Sci-Fi;2013;2013;Downloaded;DELETED;HD 720P;8;45;6,00;;
Treme;Cal.;Treme;4;David Simon/Eric Overmyer;Drama;2013;2013;Downloaded;DELETED;HD 720P;5;60;5,00;;
Ghost in the Shell: Arise;Cal.;Ghost in the Shell: Arise;1;Production I.G;Animation | Action | Sci-Fi;2013;2014;Downloaded;DELETED;HD 720P;5;60;5,00;;4 OVA + pyrophic cult standalone
Sherlock;Cal.;Sherlock;3;Mark Gatiss/Steven Moffat;Crime | Drama | Mystery;2014;2014;Downloaded;external #1;HD 720P;3;90;4,50;;
Community;Cal.;Community;5;Dan Harmon;Comedy;2014;2014;Downloaded;DELETED;HD 720P;13;22;4,77;;
Justified;Cal.;Justified;5;Graham Yost;Action | Crime | Drama | Thriller;2014;2014;Downloaded;DELETED;HD 720P;13;42;9,10;;
House of Lies;Cal.;House of Lies;3;Matthew Carnahan;Comedy | Drama;2014;2014;Downloaded;DELETED;HD 720P;12;30;6,00;;
Girls;Cal.;Girls;3;Lena Dunham;Comedy;2014;2014;Downloaded;DELETED;HD 720P;12;30;6,00;;
True Detective;Cal.;True Detective;1;Nic Pizzolatto;Crime | Drama;2014;2014;Downloaded;external #1;HD 720P;8;60;8,00;;
Orange Is the New Black;Cal.;Orange Is the New Black;1;Jenji Kohan;Comedy | Crime | Drama;2013;2013;Downloaded;DELETED;HD 720P;13;55;11,92;;
Archer;Cal.;Archer;5;Adam Reed;Animation | Action | Comedy;2014;2014;Downloaded;DELETED;HD 720P;13;22;4,77;;
House of Cards;Cal.;House of Cards;2;Beau Willimon;Drama;2014;2014;Downloaded;DELETED;HD 720P;13;50;10,83;;
Masters of Sex;Cal.;Masters of Sex;1;Michelle Ashford;Drama;2013;2013;Downloaded;DELETED;HD 720P;12;55;11,00;;
Americans;Cal.;The Americans;2;Joe Weisberg;Crime | Drama | Mystery | Thriller;2014;2014;Downloaded;DELETED;HD 720P;13;45;9,75;;
Cosmos: A Spacetime Odyssey;Cal.;Cosmos: A Spacetime Odyssey;1;;Documentary;2014;2014;Downloaded;DELETED;HD 720P;13;52;11,27;;
Game of Thrones;Cal.;Game of Thrones;4;David Benioff / Dan Weiss;Drama | Fantasy;2014;2014;Downloaded;T:\TV\;HD 720P;10;60;10,00;;
Veep;Cal.;Veep;3;Armando Iannucci;Comedy;2014;2014;Downloaded;DELETED;HD 720P;10;30;5,00;;
Mad Men;Cal.;Mad Men;7;Matthew Weiner;Drama;2014;2015;Downloaded;DELETED;HD 720P;14;47;10,97;;
Silicon Valley;Cal.;Silicon Valley;1;Mike Judge;Comedy;2014;2014;Downloaded;DELETED;HD 720P;8;30;4,00;;
Star Wars: The Clone Wars;Cal.;Star Wars: The Clone Wars;6;George Lucas / Lucasfilm Animation;Animation | Action | Adventure | Drama | Fantasy | Sci-Fi;2014;2014;Downloaded;DELETED;HD 720P;13;22;4,77;;
Louie;Cal.;Louie;4;Louis C.K.;Comedy;2014;2014;Downloaded;DELETED;HD 720P;14;23;5,37;;
24;Cal.;24;9;Robert Cochran, Joel Surnow;Action | Crime | Drama | Mystery | Thriller;2014;2014;Downloaded;DELETED;HD 720P;12;43;8,60;;
Hannibal;Cal.;Hannibal;1;Bryan Fuller;Crime | Horror | Thriller;2013;2013;Downloaded;DELETED;HD 720P;13;42;9,10;;
Hannibal;Cal.;Hannibal;2;Bryan Fuller;Crime | Horror | Thriller;2014;2014;Downloaded;DELETED;HD 720P;13;42;9,10;;
Orange Is the New Black;Cal.;Orange Is the New Black;2;Jenji Kohan;Comedy | Crime | Drama;2014;2014;Downloaded;DELETED;HD 720P;13;55;11,92;;
True Blood;Cal.;True Blood;7;Alan Ball;Drama | Fantasy | Horror;2014;2014;Downloaded;DELETED;HD 720P;10;55;9,17;;
Falling Skies;Cal.;Falling Skies;4;Robert Rodat / Steven Spielberg;Action | Sci-Fi | Thriller;2014;2014;Downloaded;DELETED;HD 720P;12;45;9,00;;
Fargo;Cal.;Fargo;1;Noah Hawley;Crime | Drama;2014;2014;Downloaded;DELETED;HD 720P;10;55;9,17;;
Masters of Sex;Cal.;Masters of Sex;2;Michelle Ashford;Drama;2014;2014;Downloaded;DELETED;HD 720P;12;55;11,00;;
Doctor Who (2005);Cal.;Doctor Who (2005);8;Steven Moffat;Adventure | Drama | Sci-Fi;2014;2014;Downloaded;DELETED;HD 720P;12;45;9,00;;
Boardwalk Empire;Cal.;Boardwalk Empire;5;Terence Winter;Crime | Drama | History;2014;2014;Downloaded;DELETED;HD 720P;8;55;7,33;;
Modern Family;Cal.;Modern Family;6;Steven Levitan / Christopher Lloyd;Comedy;2014;2015;Downloaded;DELETED;HD 720P;24;22;8,80;;
South Park;Cal.;South Park;18;Trey Parker, Matt Stone;Animation | Comedy;2014;2014;Downloaded;external #1;HD 720P;10;22;3,67;;
Vampire Diaries;Cal.;The Vampire Diaries;6;Kevin Williamson and Julie Plec;Drama | Fantasy | Horror | Romance;2014;2015;Downloaded;DELETED;HD 720P;22;41;15,03;;
Homeland;Cal.;Homeland;4;Howard Gordon / Alex Gansa / Gideon Raff;Drama;2014;2014;Downloaded;DELETED;HD 720P;12;55;11,00;;
Walking Dead;Cal.;The Walking Dead;5;Frank Darabont;Drama | Horror;2014;2015;Downloaded;DELETED;HD 720P;16;45;12,00;;
Benched;Cal.;Benched;1;Michaela Watkins and Damon Jones;Comedy;2014;2014;Downloaded;DELETED;HD 720P;12;22;4,40;;
Constantine;Cal.;Constantine;1;Daniel Cerone & David S. Goyer;Fantasy | Horror;2014;2015;Downloaded;DELETED;HD 720P;13;43;9,32;;
Newsroom;Cal.;The Newsroom;3;Aaron Sorkin;Drama;2014;2014;Downloaded;DELETED;HD 720P;6;60;6,00;;
New Amsterdam;Cal.;New Amsterdam;1;Allan Loeb, Christian Taylor;Crime | Drama | Sci-Fi;2008;2008;Downloaded;DELETED;HD 720P;8;43;5,73;;
Archer;Cal.;Archer;6;Adam Reed;Animation | Action | Comedy;2015;2015;Downloaded;DELETED;HD 720P;13;22;4,77;;
House of Lies;Cal.;House of Lies;4;Matthew Carnahan;Comedy | Drama;2015;2015;Downloaded;DELETED;HD 720P;12;30;6,00;;
Girls;Cal.;Girls;4;Lena Dunham;Comedy;2015;2015;Downloaded;DELETED;HD 720P;10;30;5,00;;
Parks and Recreation;Cal.;Parks and Recreation;7;Greg Daniels/Michael Schur;Comedy;2015;2015;Downloaded;DELETED;HD 720P;13;22;4,77;;
Justified;Cal.;Justified;6;Graham Yost;Action | Crime | Drama | Thriller;2015;2015;Downloaded;DELETED;HD 720P;13;42;9,10;;
Americans;Cal.;The Americans;3;Joe Weisberg;Crime | Drama | Mystery | Thriller;2015;2015;Downloaded;DELETED;HD 720P;13;45;9,75;;
