Sort;URL;Original title;S;Creator(s);Genres;Start;End;Media;Storage;Video;E;Mins;Hours;Added;comment
Wire;Cal.;The Wire;2;David Simon;Crime | Drama;2003;2003;Downloaded;external #1;Decent;12;55;11,00;;dvdrip and subtitles from tvtorrents.com 
24;Cal.;24;3;Robert Cochran, Joel Surnow;Action | Crime | Drama | Mystery | Thriller;2003;2004;DVD;;;24;43;17,20;;
Alias;Cal.;Alias;3;J.J. Abrams;Action | Adventure | Drama | Mystery | Sci-Fi | Thriller;2003;2004;Downloaded;external #1;Pretty good;22;42;15,40;;DVDs, not much better than season 1-2
Angel;Cal.;Angel;5;Joss Whedon, David Greenwalt;Drama | Fantasy;2003;2004;DVD;;;22;42;15,40;;Angel - Series 1-5 - Complete box set
Black Books;Cal.;Black Books;3;Dylan Moran / Graham Linehan;Comedy;2004;2004;Downloaded;external #1;DVDrip;6;25;2,50;;
Da Ali G Show;Cal.;Da Ali G Show;2;Sacha Baron Cohen;Comedy | Talk-Show;2004;2004;Downloaded;Burned DVD;Low for size;6;30;3,00;;American (HBO) version of the show
Deadwood;Cal.;Deadwood;1;David Milch;Adventure | Crime | Drama | History | Western;2004;2004;Downloaded;DELETED;Pretty good;12;55;11,00;;DVDs (4)
Paranoia Agent;Cal.;Paranoia Agent;1;Satoshi Kon;Animation | Comedy | Drama | Mystery;2004;2004;Downloaded;external #1;DVDrip;13;24;5,20;;
Scrubs;Cal.;Scrubs;3;Bill Lawrence;Comedy | Drama;2003;2004;Downloaded;DELETED;Decent;22;22;8,07;;
Sopranos, The;Cal.;Sopranos, The;5;David Chase;Crime | Drama | Thriller;2004;2004;DVD;;;13;50;10,83;;
South Park;Cal.;South Park;8;Trey Parker, Matt Stone;Animation | Comedy;2004;2004;Downloaded;external #1;decent (varying size);14;22;5,13;;
Star Wars: Clone Wars Volume I;Cal.;Star Wars: Clone Wars Volume I;1 & 2;Genndy Tartakovsky;Action | Fantasy | Sci-Fi | Animation | Short | Adventure;2003;2004;DVD;;;20;3;1,00;;Season 1 and 2
West Wing;Cal.;The West Wing;5;Aaron Sorkin;Drama;2003;2004;Downloaded;T:\TV\;DVDrip;22;42;15,40;;
Wire;Cal.;The Wire;3;David Simon;Crime | Drama;2004;2004;Downloaded;external #1;Decent;12;55;11,00;;dvdrip and subtitles from tvtorrents.com 
24;Cal.;24;4;Robert Cochran, Joel Surnow;Action | Crime | Drama | Mystery | Thriller;2005;2005;DVD;;;24;43;17,20;;
Alias;Cal.;Alias;4;J.J. Abrams;Action | Adventure | Drama | Mystery | Sci-Fi | Thriller;2005;2005;Downloaded;external #1;Pretty good;22;42;15,40;;
Battlestar Galactica;Cal.;Battlestar Galactica;1;Glen A. Larson, Ronald D. Moore;Action | Adventure | Drama | Sci-Fi;2004;2005;DVD;;;13;42;9,10;;reimaging of series from 1978
Carnivàle;Cal.;Carnivàle;2;Daniel Knauf;Drama | Fantasy | Mystery | Romance | Thriller | War;2005;2005;Downloaded;DELETED;HD 720P;12;52,5;10,50;;
Deadwood;Cal.;Deadwood;2;David Milch;Adventure | Crime | Drama | History | Western;2005;2005;Downloaded;DELETED;Pretty good;12;55;11,00;;DVDs (4)
